,count,mean,std,min,25%,50%,75%,max
r1,1070994.0,215.2278,1439.6964,0.0003,71.1584,150.4507,241.0526,836000.0
r2,1070994.0,576.0426,7757.8509,0.0007,170.5387,493.3333,680.3571,3712000.0
r3,1070994.0,262.3124,3756.4994,0.0001,68.8464,234.9206,333.0882,2930000.0
r4,1070994.0,11.3409,211.1728,0.0,2.2388,4.5598,7.2277,154070.6446
r5,1070994.0,33.9374,2424.1337,0.0002,5.6078,14.88,20.2941,1549530.0
r6,1070994.0,15.9052,1438.0704,0.0,1.7364,7.0836,10.0339,1318500.0
r7,1070994.0,27.8146,373.301,0.0,5.137,8.4939,13.5013,248117.557
r8,1070994.0,64.1604,3066.8469,0.0003,16.7197,26.8169,36.02,1670400.0
r9,1070994.0,25.5535,1487.7478,0.0001,6.574,12.5895,17.5699,1318500.0
r1_ZIP5,1070994.0,1.0,6.0428,0.0,0.4116,0.8854,1.2108,2680.8061
r2_ZIP5,1070994.0,1.0,7.9451,0.0,0.3371,0.8929,1.2008,3561.4246
r3_ZIP5,1070994.0,1.0,9.7774,0.0,0.3053,0.8548,1.1751,5457.4654
r4_ZIP5,1070994.0,1.0,12.6149,0.0,0.2181,0.6858,1.0229,7922.451
r5_ZIP5,1070994.0,1.0,19.0793,0.0,0.1842,0.6298,0.9208,8728.8877
r6_ZIP5,1070994.0,1.0,21.3279,0.0,0.1259,0.546,0.8388,9303.6775
r7_ZIP5,1070994.0,1.0,10.2945,0.0,0.2447,0.5936,0.9087,5724.8158
r8_ZIP5,1070994.0,1.0,15.8823,0.0,0.2909,0.6284,0.886,7615.1417
r9_ZIP5,1070994.0,1.0,17.4343,0.0,0.2646,0.584,0.8367,8740.7969
r1_ZIP3,1070994.0,1.0,8.5086,0.0,0.3907,0.8319,1.2085,5190.1508
r2_ZIP3,1070994.0,1.0,11.3948,0.0,0.3109,0.8682,1.1776,4644.0644
r3_ZIP3,1070994.0,1.0,14.3184,0.0,0.2785,0.8524,1.1816,8780.523
r4_ZIP3,1070994.0,1.0,27.2829,0.0,0.2229,0.6083,0.9511,19922.6036
r5_ZIP3,1070994.0,1.0,49.1605,0.0,0.1683,0.5351,0.7609,36959.6634
r6_ZIP3,1070994.0,1.0,63.1782,0.0,0.1242,0.4675,0.7073,54983.2487
r7_ZIP3,1070994.0,1.0,23.8075,0.0,0.2343,0.495,0.765,21328.345
r8_ZIP3,1070994.0,1.0,36.1357,0.0,0.2847,0.553,0.741,23505.1397
r9_ZIP3,1070994.0,1.0,45.7737,0.0,0.2818,0.5253,0.7413,39108.692
r1_TAXCLASS,1070994.0,1.0,7.673,0.0,0.3485,0.6536,1.043,3779.498
r2_TAXCLASS,1070994.0,1.0,24.3973,0.0,0.4161,0.7376,1.0008,20675.1243
r3_TAXCLASS,1070994.0,1.0,81.2419,0.0,0.4008,0.7486,1.0326,83431.0947
r4_TAXCLASS,1070994.0,1.0,9.3859,0.0,0.2783,0.6864,1.0817,4978.2968
r5_TAXCLASS,1070994.0,1.0,60.478,0.0,0.2099,0.7657,1.0554,59912.446
r6_TAXCLASS,1070994.0,1.0,136.9627,0.0,0.1609,0.7476,1.0615,141299.6442
r7_TAXCLASS,1070994.0,1.0,8.9261,0.0,0.3434,0.7063,1.0942,5152.4613
r8_TAXCLASS,1070994.0,1.0,24.8621,0.0,0.3615,0.7847,1.0535,20674.995
r9_TAXCLASS,1070994.0,1.0,81.3315,0.0,0.3467,0.7768,1.0643,83430.6085
r1_BORO,1070994.0,1.0,8.4181,0.0,0.3814,0.811,1.2132,5190.1508
r2_BORO,1070994.0,1.0,12.6671,0.0,0.3122,0.8632,1.1728,5793.6575
r3_BORO,1070994.0,1.0,14.7703,0.0,0.2775,0.8435,1.1867,9234.3655
r4_BORO,1070994.0,1.0,26.0897,0.0,0.2167,0.5931,0.9554,19924.462
r5_BORO,1070994.0,1.0,62.3208,0.0,0.1953,0.4757,0.7239,38899.4568
r6_BORO,1070994.0,1.0,73.0882,0.0,0.1228,0.449,0.6934,66580.3758
r7_BORO,1070994.0,1.0,20.4285,0.0,0.2285,0.4775,0.7627,17222.0257
r8_BORO,1070994.0,1.0,47.4995,0.0,0.2911,0.5043,0.713,25666.4973
r9_BORO,1070994.0,1.0,49.374,0.0,0.283,0.5092,0.7402,43733.8704
